datetime,open,high,low,close,volume,Ticker
2021-07-09,275.72000,278.049988,275.32001,277.94000,23916700,MSFT
2021-07-12,279.16000,279.76999,276.57999,277.32001,18931700,MSFT
2021-07-13,277.51999,282.85001,277.39001,280.98001,26120100,MSFT
2021-07-14,282.35001,283.66000,280.54999,282.51001,23113700,MSFT
2021-07-15,282,282.51001,279.82999,281.029999,22604200,MSFT
2021-07-16,282.070007,284.10001,279.45999,280.75,26186800,MSFT
2021-07-19,278.92999,280.37000,274.45001,277.010010,32935600,MSFT
2021-07-20,278.029999,280.97000,276.26001,279.32001,26259700,MSFT
2021-07-21,278.89999,281.51999,277.29001,281.39999,24364300,MSFT
2021-07-22,283.84000,286.42001,283.42001,286.14001,23384100,MSFT
2021-07-23,287.37000,289.98999,286.5,289.67001,22768100,MSFT
2021-07-26,289,289.69000,286.64001,289.049988,23176100,MSFT
2021-07-27,289.42999,289.57999,282.95001,286.54001,33604100,MSFT
2021-07-28,288.98999,290.14999,283.82999,286.22000,33566900,MSFT
2021-07-29,286.23999,288.62000,286.079987,286.5,18168300,MSFT
2021-07-30,285.17001,286.66000,283.91000,284.91000,20944800,MSFT
2021-08-02,286.35999,286.76999,283.73999,284.82001,16267400,MSFT
2021-08-03,285.42001,287.23001,284,287.12000,17879000,MSFT
2021-08-04,286.22000,287.59000,284.64999,286.51001,16191300,MSFT
2021-08-05,286.88000,289.63000,286.10001,289.51999,13900200,MSFT
2021-08-06,288.51001,289.5,287.62000,289.45999,16589300,MSFT
2021-08-09,289.75,291.54999,287.81000,288.32999,16117600,MSFT
2021-08-10,288.79999,289.25,285.20001,286.44000,18616600,MSFT
2021-08-11,287.20999,288.66000,285.85999,286.95001,13955900,MSFT
2021-08-12,286.63000,289.97000,286.34000,289.81000,14561300,MSFT
2021-08-13,289.48001,292.89999,289.29999,292.85001,18249000,MSFT
2021-08-16,293.19000,294.82001,290.019989,294.60001,22507600,MSFT
2021-08-17,292.39001,293.42999,291.079987,293.079987,20075300,MSFT
2021-08-18,292.040009,294.82001,290.26999,290.73001,21813000,MSFT
2021-08-19,288.69000,297.47000,288.64001,296.76999,29850500,MSFT
2021-08-20,299.72000,305.84000,298.059998,304.35999,40817600,MSFT
2021-08-23,303.25,305.39999,301.85001,304.64999,22830200,MSFT
2021-08-24,305.019989,305.64999,302,302.62000,18175800,MSFT
2021-08-25,304.29999,304.59000,300.42001,302.010010,20006100,MSFT
2021-08-26,300.98999,302.42999,298.95001,299.089996,17666100,MSFT
2021-08-27,298.98999,300.87000,296.82999,299.72000,22605700,MSFT
2021-08-30,301.12000,304.22000,301.059998,303.59000,16348100,MSFT
2021-08-31,304.42001,304.5,301.5,301.88000,26285300,MSFT
2021-09-01,302.87000,305.19000,301.48999,301.82999,18983800,MSFT
2021-09-02,302.20001,303.35999,300.17999,301.14999,16285600,MSFT
2021-09-03,300.98999,302.60001,300.26001,301.14001,14747900,MSFT
2021-09-07,301.010010,301.089996,298.20001,300.17999,17180400,MSFT
2021-09-08,299.78000,300.60999,297.47000,300.20999,15046800,MSFT
2021-09-09,300.82001,302.14001,297,297.25,19927000,MSFT
2021-09-10,298.42001,299.92001,295.38000,295.70999,19633400,MSFT
2021-09-13,297.54999,298.54001,294.079987,296.98999,23652900,MSFT
2021-09-14,299.56000,301.39001,298.10001,299.79001,21853400,MSFT
2021-09-15,303.26001,305.32001,301.82001,304.82001,28356300,MSFT
2021-09-16,303.76001,305.31000,300.76001,305.22000,19550800,MSFT
2021-09-17,304.17001,304.5,299.53000,299.87000,41372500,MSFT
2021-09-20,296.32999,298.72000,289.51999,294.29999,38278700,MSFT
2021-09-21,295.69000,297.54001,294.070007,294.79999,22364100,MSFT
2021-09-22,296.73001,300.22000,294.51001,298.57999,26626300,MSFT
2021-09-23,298.85001,300.89999,297.53000,299.56000,18604600,MSFT
2021-09-24,298.23001,299.79999,296.92999,299.35001,14999000,MSFT
2021-09-27,296.14001,296.47000,292.94000,294.17001,23571700,MSFT
2021-09-28,289.79999,290.78000,282.75,283.51999,43186200,MSFT
2021-09-29,285.10001,286.76999,283.010010,284,26353700,MSFT
2021-09-30,285.70999,287.82999,281.62000,281.92001,32343600,MSFT
2021-10-01,282.12000,289.98001,281.29001,289.10001,30086300,MSFT
2021-10-04,287.39999,287.75,280.25,283.10999,31350700,MSFT
2021-10-05,284.049988,290.39999,284.049988,288.76001,24993000,MSFT
2021-10-06,285.78000,293.63000,285.51001,293.10999,28002600,MSFT
2021-10-07,295.17999,296.64001,293.92001,294.85001,20430500,MSFT
2021-10-08,296.22000,296.64001,293.76001,294.85001,17685700,MSFT
2021-10-11,292.92001,297.97000,292.75,294.23001,19298600,MSFT
2021-10-12,295.34000,295.44000,292.35001,292.88000,17974100,MSFT
2021-10-13,294.91000,297.28000,293.48999,296.31000,23416300,MSFT
2021-10-14,299.20999,303.26999,297.82999,302.75,27262900,MSFT
2021-10-15,302.34000,304.45001,300.51999,304.20999,25384800,MSFT
2021-10-18,303.57001,308.20999,302.69000,307.29001,22729300,MSFT
2021-10-19,308.35001,309.29999,307.22000,308.23001,17682100,MSFT
2021-10-20,309.20999,309.70001,306.10999,307.41000,16537100,MSFT
2021-10-21,307.17001,311.019989,306.35999,310.76001,16918100,MSFT
2021-10-22,310.39999,311.089996,307.79999,309.16000,17449300,MSFT
2021-10-25,309.35999,309.39999,306.45999,308.13000,17554500,MSFT
2021-10-26,311,312.39999,308.60001,310.10999,28107300,MSFT
2021-10-27,316,326.10001,316,323.17001,52588700,MSFT
2021-10-28,324.32999,324.87000,321.35999,324.35001,26297900,MSFT
2021-10-29,324.13000,332,323.89999,331.62000,34766000,MSFT
2021-11-01,331.35999,331.48999,326.37000,329.37000,27073200,MSFT
2021-11-02,330.31000,333.45001,330,333.13000,26487100,MSFT
2021-11-03,333.89999,334.89999,330.64999,334,21500100,MSFT
2021-11-04,332.89001,336.54001,329.51001,336.44000,23992200,MSFT
2021-11-05,338.51001,338.79001,334.42001,336.059998,22570100,MSFT
2021-11-08,337.29999,337.64999,334.44000,336.98999,20897000,MSFT
2021-11-09,337.10999,338.72000,334.53000,335.95001,21307400,MSFT
2021-11-10,334.57001,334.63000,329.92001,330.79999,25500900,MSFT
2021-11-11,331.25,333.76999,330.51001,332.42999,16849800,MSFT
2021-11-12,333.92001,337.23001,333.79001,336.72000,23831000,MSFT
2021-11-15,337.54001,337.88000,334.029999,336.070007,16723000,MSFT
2021-11-16,335.67999,340.67001,335.51001,339.51001,20886800,MSFT
2021-11-17,338.94000,342.19000,338,339.12000,19053400,MSFT
2021-11-18,338.17999,342.45001,337.12000,341.26999,22463500,MSFT
2021-11-19,342.64001,345.10001,342.20001,343.10999,21963400,MSFT
2021-11-22,344.62000,349.67001,339.54999,339.82999,31031100,MSFT
2021-11-23,337.049988,339.45001,333.56000,337.67999,30427600,MSFT
2021-11-24,336.28000,338.16000,333.91000,337.91000,21661300,MSFT
2021-11-26,334.35001,337.92999,328.12000,329.67999,24217200,MSFT
2021-11-29,334.94000,339.029999,334.73999,336.63000,28563500,MSFT
2021-11-30,335.32001,337.78000,328.98999,330.59000,42885600,MSFT
2021-12-01,335.13000,339.28000,329.39001,330.079987,33337600,MSFT
2021-12-02,330.29999,333.48999,327.79999,329.48999,30766000,MSFT
2021-12-03,331.98999,332.70001,318.029999,323.010010,41779300,MSFT
2021-12-06,323.95001,327.45001,319.23001,326.19000,30032600,MSFT
2021-12-07,331.64001,335.79999,330.10001,334.92001,31021900,MSFT
2021-12-08,335.31000,335.5,330.79999,334.97000,24761000,MSFT
2021-12-09,334.41000,336.48999,332.12000,333.10001,22214200,MSFT
2021-12-10,334.98001,343,334.79001,342.54001,38095700,MSFT
2021-12-13,340.67999,343.79001,339.079987,339.39999,28899400,MSFT
2021-12-14,333.22000,334.64001,324.10999,328.34000,44438700,MSFT
2021-12-15,328.60999,335.19000,324.5,334.64999,35381100,MSFT
2021-12-16,335.70999,336.76001,323.019989,324.89999,35034800,MSFT
2021-12-17,320.88000,324.92001,317.25,323.79999,47750300,MSFT
2021-12-20,320.049988,322.79999,317.57001,319.91000,28326500,MSFT
2021-12-21,323.29001,327.73001,319.79999,327.29001,24740600,MSFT
2021-12-22,328.29999,333.60999,325.75,333.20001,24831500,MSFT
2021-12-23,332.75,336.39001,332.73001,334.69000,19617800,MSFT
2021-12-27,335.45999,342.48001,335.42999,342.45001,19947000,MSFT
2021-12-28,343.14999,343.81000,340.32001,341.25,15661500,MSFT
2021-12-29,341.29999,344.29999,339.67999,341.95001,15042000,MSFT
2021-12-30,341.91000,343.13000,338.82001,339.32001,15994500,MSFT
2021-12-31,338.51001,339.35999,335.85001,336.32001,18000800,MSFT
2022-01-03,335.35001,338,329.78000,334.75,28865100,MSFT
2022-01-04,334.82999,335.20001,326.12000,329.010010,32674300,MSFT
2022-01-05,325.85999,326.070007,315.98001,316.38000,40054300,MSFT
2022-01-06,313.14999,318.70001,311.48999,313.88000,39646100,MSFT
2022-01-07,314.14999,316.5,310.089996,314.040009,32720000,MSFT
2022-01-10,309.48999,314.72000,304.69000,314.26999,44289500,MSFT
2022-01-11,313.38000,316.60999,309.89001,314.98001,29386800,MSFT
2022-01-12,319.67001,323.41000,317.079987,318.26999,34372200,MSFT
2022-01-13,320.47000,320.88000,304,304.79999,45366000,MSFT
2022-01-14,304.25,310.82001,303.75,310.20001,39846400,MSFT
2022-01-18,304.070007,309.79999,301.73999,302.64999,42333200,MSFT
2022-01-19,306.29001,313.91000,302.70001,303.32999,45933900,MSFT
2022-01-20,309.070007,311.64999,301.14001,301.60001,35380700,MSFT
2022-01-21,302.69000,304.10999,295.60999,296.029999,57984400,MSFT
2022-01-24,292.20001,297.10999,276.049988,296.37000,85731500,MSFT
2022-01-25,291.51999,294.98999,285.17001,288.48999,72848600,MSFT
2022-01-26,307.98999,308.5,293.029999,296.70999,90428900,MSFT
2022-01-27,302.66000,307.29999,297.92999,299.84000,53481300,MSFT
2022-01-28,300.23001,308.48001,294.45001,308.26001,49743700,MSFT
2022-01-31,308.95001,312.38000,306.37000,310.98001,46444500,MSFT
2022-02-01,310.41000,310.63000,305.13000,308.76001,40950400,MSFT
